H1,V,P1,Pl,pKa,NCI,length,dataset,sequence_id
0.15181818181818182,67.12727272727273,7.7727272727272725,6.668181818181818,2.26,0.036861000000000005,11,amyAMP,seq_epochs_()_num_1
0.17,60.054166666666674,7.829166666666666,6.062916666666666,2.2224999999999997,0.04007145833333333,24,amyAMP,seq_epochs_()_num_2
-0.005999999999999994,72.11999999999999,8.2,6.343999999999999,2.2095,0.04288065,20,amyAMP,seq_epochs_()_num_3
-0.401111111111111,82.48888888888888,8.616666666666667,7.447777777777778,2.2211111111111115,0.033409888888888885,18,amyAMP,seq_epochs_()_num_4
-0.11217391304347826,81.73478260869565,8.47391304347826,6.7156521739130435,2.2517391304347827,0.027594000000000004,23,amyAMP,seq_epochs_()_num_5
0.234,59.44666666666667,8.020000000000001,6.382,2.2760000000000002,0.04738646666666666,15,amyAMP,seq_epochs_()_num_6
0.6430769230769232,71.01538461538462,7.0307692307692315,6.214615384615384,2.278461538461538,0.03029484615384616,13,amyAMP,seq_epochs_()_num_7
-0.184375,66.575,8.850000000000001,6.6975,2.228125,0.02791575,16,amyAMP,seq_epochs_()_num_8
-0.04666666666666661,73.2125,8.204166666666667,6.779166666666666,2.1775,0.027527333333333334,24,amyAMP,seq_epochs_()_num_9
0.3646153846153847,79.03846153846153,7.353846153846154,6.506153846153846,2.3330769230769226,0.033250769230769237,13,amyAMP,seq_epochs_()_num_10
-0.256,97.96,8.2,7.617333333333333,2.185333333333333,0.02444653333333334,15,amyAMP,seq_epochs_()_num_11
0.06428571428571431,64.4857142857143,7.728571428571428,6.5371428571428565,2.2628571428571425,0.026825000000000005,7,amyAMP,seq_epochs_()_num_12
0.06947368421052633,74.39999999999999,7.800000000000001,6.887368421052632,2.2226315789473685,0.03039489473684211,19,amyAMP,seq_epochs_()_num_13
0.2225,61.925,8.05,6.3225,2.2675,0.0341955,8,amyAMP,seq_epochs_()_num_14
0.2942857142857143,78.85714285714286,7.5,7.055714285714287,2.3000000000000003,0.056635285714285714,7,amyAMP,seq_epochs_()_num_15
-0.002500000000000021,79.9,8.191666666666668,6.675833333333333,2.151666666666667,0.02129275,12,amyAMP,seq_epochs_()_num_16
0.2725,74.02,7.610000000000001,6.480499999999999,2.2659999999999996,0.04115,20,amyAMP,seq_epochs_()_num_17
-0.11899999999999995,71.71000000000001,7.529999999999999,6.711,2.197,0.023025800000000003,10,amyAMP,seq_epochs_()_num_18
-0.3876923076923076,78.73076923076923,8.238461538461538,7.241538461538462,2.214615384615385,0.024531769230769232,13,amyAMP,seq_epochs_()_num_19
